"Drugs","MOA","Target","Phase","pert_id","moa_brd","moa_final","moa_manual"
"entinostat","HDAC inhibitor","HDAC1, HDAC2, HDAC3, HDAC9","Phase 3","BRD-K77908580","HDAC inhibitor","HDAC inhibitor",NA
"enzastaurin","PKC inhibitor","AKT1, GSK3B, PRKCA, PRKCB, PRKCD, PRKCG","Phase 3","BRD-K79404599","PKC inhibitor","PKC inhibitor",NA
"eo-1428","p38 MAPK inhibitor","MAPK11, MAPK14","Preclinical","BRD-K42452249","p38 MAPK inhibitor","p38 MAPK inhibitor",NA
"epibatidine (+/-)",NA,NA,NA,"BRD-A39268308","Unknown","Unknown",NA
"epicatechin monogallate",NA,NA,NA,"BRD-K50660797","bacterial DNA gyrase inhibitor","bacterial DNA gyrase inhibitor",NA
"epigallocatechin",NA,NA,NA,"BRD-K55591206","bacterial DNA gyrase inhibitor","bacterial DNA gyrase inhibitor",NA
"epirubicin hydrochloride","topoisomerase inhibitor","CHD1, TOP2A","Launched","BRD-A56518012","topoisomerase inhibitor","topoisomerase inhibitor",NA
"epitestosterone",NA,NA,NA,"BRD-A53131506","Unknown","Unknown",NA
"epitiostanol","androgen receptor agonist","AR","Launched","BRD-A68650781","androgen receptor agonist","androgen receptor agonist",NA
"eplerenone","cytochrome P450 inhibitor","NR3C2","Launched","BRD-A39969961","cytochrome P450 inhibitor","cytochrome P450 inhibitor",NA
"epothilone a",NA,NA,NA,"BRD-K48935217",NA,NA,NA
"epothilone A",NA,NA,NA,NA,NA,"tubulin polymerization inhibitor","tubulin polymerization inhibitor"
"equilin","estrogen receptor agonist","HSD17B1","Preclinical","BRD-K04046242",NA,"estrogen receptor agonist",NA
"er 27319 maleate","mediator release inhibitor, SYK inhibitor","SYK","Preclinical","BRD-K11927976","mediator release inhibitor, SYK inhibitor","mediator release inhibitor, SYK inhibitor",NA
"erastin","ion channel antagonist","VDAC2","Preclinical","BRD-A25004090","ion channel antagonist","ion channel antagonist",NA
"ergonovine","adrenergic receptor agonist, serotonin receptor agonist","ADRA1A, HTR1E","Launched",NA,NA,"adrenergic receptor agonist, serotonin receptor agonist",NA
"eriodyctol",NA,NA,NA,NA,NA,NA,NA
"erismodegib",NA,NA,NA,"BRD-K19796430",NA,"smoothened receptor antagonist","smoothened receptor antagonist"
"erk-inhibitor-11e",NA,NA,NA,"BRD-K93725829","MAP kinase inhibitor","MAP kinase inhibitor",NA
"erlotinib","EGFR inhibitor","EGFR, NR1I2","Launched","BRD-K70401845","EGFR inhibitor","EGFR inhibitor",NA
"eryped",NA,NA,NA,NA,NA,NA,NA
"erythromycin","NFkB pathway inhibitor","MLNR","Launched","BRD-K51677086",NA,"NFkB pathway inhibitor",NA
"erythromycin-estolate","bacterial 50S ribosomal subunit inhibitor","ABCB1, ALB, CYP3A4, CYP51A1, KCNH2, MLNR, SLC47A1","Launched",NA,NA,"bacterial 50S ribosomal subunit inhibitor",NA
"erythromycin-ethylsuccinate","cytochrome P450 inhibitor, protein synthesis inhibitor","ABCB1, ALB, CYP3A4, CYP51A1, KCNH2, MLNR, SLC47A1","Launched",NA,NA,"cytochrome P450 inhibitor, protein synthesis inhibitor",NA
"erythrosine sodium","coloring agent","","Preclinical","BRD-K14920963","coloring agent","coloring agent",NA
"escitalopram oxalate","selective serotonin reuptake inhibitor (SSRI)","SLC6A4","Launched","BRD-K70301876","selective serotonin reuptake inhibitor (SSRI)","selective serotonin reuptake inhibitor (SSRI)",NA
"esculin hydrate","antioxidant","","Phase 1","BRD-A99411506","antioxidant","antioxidant",NA
"estradiol","estrogen receptor agonist","ESR1, ESR2, GPER1, KCNMA1, NR1I2","Launched","BRD-K18910433","estrogen receptor agonist","estrogen receptor agonist",NA
"estradiol-benzoate","contraceptive agent","ESR1","Preclinical","BRD-A36066264","contraceptive agent","contraceptive agent",NA
"estradiol-cypionate","estrogen receptor agonist","ESR1","Launched","BRD-A91452556","estrogen receptor agonist","estrogen receptor agonist",NA
"estradiol-valerate","estrogen receptor agonist","ESR1","Launched","BRD-A39747742","estrogen receptor agonist","estrogen receptor agonist",NA
"estriol","estrogen receptor agonist","ESR1, ESR2","Launched","BRD-A18620900",NA,"estrogen receptor agonist",NA
"estrone","estrogen receptor agonist, estrogenic hormone","ESR1, ESR2","Launched","BRD-K81839095",NA,"estrogen receptor agonist, estrogenic hormone",NA
"estropipate","estrogen receptor agonist","ESR1, ESR2","Launched","BRD-A22143024","estrogen receptor agonist","estrogen receptor agonist",NA
"et-004",NA,NA,NA,NA,NA,NA,NA
"etanidazole","bacterial cell wall synthesis inhibitor","","Phase 3","BRD-K96042922","bacterial cell wall synthesis inhibitor","bacterial cell wall synthesis inhibitor",NA
"etazolate hydrochloride","phosphodiesterase inhibitor","GABRB3, PDE4A","Phase 2","BRD-K64755930","phosphodiesterase inhibitor","phosphodiesterase inhibitor",NA
"ethacrynic acid",NA,NA,NA,NA,NA,NA,NA
"ethamivan","respiratory stimulant","","Preclinical",NA,NA,"respiratory stimulant",NA
"ethinyl-estradiol","estrogen receptor agonist, estrogenic hormone","ESR1, ESR2, NR1I2","Launched","BRD-A43286952",NA,"estrogen receptor agonist, estrogenic hormone",NA
"ethisterone","progestogen hormone","TYR","Launched","BRD-K37208476",NA,"progestogen hormone",NA
"ethoprop",NA,NA,NA,"BRD-K08556791","Unknown","Unknown",NA
"ethopropazine hydrochloride",NA,NA,NA,NA,NA,NA,NA
"ethotoin","hydantoin antiepileptic","SCN5A","Launched","BRD-A30205217","hydantoin antiepileptic","hydantoin antiepileptic",NA
"ethyl-beta-carboline-3-carboxylate",NA,NA,NA,NA,NA,NA,NA
"ethylestrenol",NA,NA,NA,"BRD-K39391626","Unknown","androgen receptor agonist, anabolic steroid","androgen receptor agonist, anabolic steroid"
"etilefrine hydrochloride","adrenergic receptor agonist","ADRA1A, ADRB1","Launched","BRD-A09925278","adrenergic receptor agonist","adrenergic receptor agonist",NA
"etodolac","cyclooxygenase inhibitor","PTGS2","Launched","BRD-A74667430",NA,"cyclooxygenase inhibitor",NA
"etomidate","GABA receptor modulator","ADRA2B, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ","Launched","BRD-A54880345","GABA receptor modulator","GABA receptor modulator",NA
"etoposide","topoisomerase inhibitor","TOP2A, TOP2B","Launched","BRD-A18419789",NA,"topoisomerase inhibitor",NA
"eugenol","androgen receptor antagonist","AR","Launched","BRD-K32977963","androgen receptor antagonist","androgen receptor antagonist",NA
"everolimus","mTOR inhibitor","MTOR","Launched","BRD-K13514097","mTOR inhibitor","mTOR inhibitor",NA
"evista",NA,NA,NA,NA,NA,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)","estrogen receptor antagonist, selective estrogen receptor modulator (SERM)"
"evodiamine","ATPase inhibitor, TRPV agonist","TRPV1","Preclinical","BRD-A68631409","ATPase inhibitor, TRPV agonist","ATPase inhibitor, TRPV agonist",NA
"ex-527","SIRT inhibitor","SIRT1","Phase 2","BRD-A73908300",NA,"SIRT inhibitor",NA
"exemestane","aromatase inhibitor","CYP19A1","Launched","BRD-A73741725",NA,"aromatase inhibitor",NA
"ezetimibe","cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist","ANPEP, NPC1L1, SOAT1","Launched","BRD-K42260897","cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist","cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist",NA
"f3103-0039",NA,NA,NA,NA,NA,NA,NA
"f4679",NA,NA,NA,NA,NA,NA,NA
"f8927",NA,NA,NA,NA,NA,NA,NA
"f9428",NA,NA,NA,NA,NA,NA,NA
"famciclovir","DNA polymerase inhibitor","","Launched","BRD-K45033733","DNA polymerase inhibitor","DNA polymerase inhibitor",NA
"fananserin","dopamine receptor antagonist, serotonin receptor antagonist","HTR2A","Phase 2","BRD-K08998509","dopamine receptor antagonist, serotonin receptor antagonist","dopamine receptor antagonist, serotonin receptor antagonist",NA
"fasudil hydrochloride","rho associated kinase inhibitor","PKIA, PRKACA, ROCK1, ROCK2","Launched","BRD-K76617868","rho associated kinase inhibitor","rho associated kinase inhibitor",NA
"fccp",NA,NA,NA,"BRD-K14821540","Unknown","uncoupler of mitochondrial oxidative phosphorylation","uncoupler of mitochondrial oxidative phosphorylation"
"fedratinib","FLT3 inhibitor, JAK inhibitor","BRD4, JAK1, JAK2, JAK3, TYK2","Launched",NA,NA,"FLT3 inhibitor, JAK inhibitor","JAK inhibitor"
"felamidin",NA,NA,NA,"BRD-K36638198","Unknown","Unknown",NA
"felbamate","glutamate receptor antagonist","GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B","Launched","BRD-K99107520","glutamate receptor antagonist","glutamate receptor antagonist",NA
"felodipine","calcium channel blocker","CFTR","Launched","BRD-A30815329","calcium channel blocker","calcium channel blocker",NA
"fenbendazole","tubulin polymerization inhibitor","TUBB","Launched","BRD-K51318897","tubulin polymerization inhibitor","tubulin polymerization inhibitor",NA
"fenbufen","cyclooxygenase inhibitor","PTGS1, PTGS2","Launched","BRD-K12513978","cyclooxygenase inhibitor","cyclooxygenase inhibitor",NA
"fendiline hydrochloride","calcium channel blocker","HTR2B","Preclinical","BRD-A71033472","calcium channel blocker","calcium channel blocker",NA
"fenobam","glutamate receptor antagonist","GRM5","Phase 2","BRD-K41160163","glutamate receptor antagonist","glutamate receptor antagonist",NA
"fenofibrate","PPAR receptor agonist","MMP25, PPARA","Launched","BRD-K50388907","PPAR receptor agonist","PPAR receptor agonist",NA
"fenoldopam hydrochloride","dopamine receptor agonist","DRD1, DRD4","Launched","BRD-A50684349","dopamine receptor agonist","dopamine receptor agonist",NA
"fenoterol hydrobromide","adrenergic receptor agonist","ADRB2","Withdrawn","BRD-A97104540","adrenergic receptor agonist","adrenergic receptor agonist",NA
"fenretinide","apoptosis stimulant, retinoid receptor agonist","RARA","Phase 3","BRD-K89085489","apoptosis stimulant, retinoid receptor agonist","apoptosis stimulant, retinoid receptor agonist",NA
"fenspiride hydrochloride","bronchodilator","","Launched","BRD-K26739552","bronchodilator","bronchodilator",NA
"fentiazac","cyclooxygenase inhibitor","PTGS1, PTGS2","Launched","BRD-K16077845","cyclooxygenase inhibitor","cyclooxygenase inhibitor",NA
"fexaramine","FXR agonist","NR1H4","Preclinical","BRD-K34170797","FXR agonist","FXR agonist",NA
"fgin-1-27","inositol monophosphatase inhibitor","TSPO","Preclinical","BRD-K09778810","inositol monophosphatase inhibitor","inositol monophosphatase inhibitor",NA
"finasteride","5 alpha reductase inhibitor","AKR1D1, SRD5A1, SRD5A2","Launched","BRD-A83081521",NA,"5 alpha reductase inhibitor",NA
"fipronil","chloride channel blocker, GABA gated chloride channel blocker","","Launched","BRD-A50675702","chloride channel blocker, GABA gated chloride channel blocker","chloride channel blocker, GABA gated chloride channel blocker",NA
"fisetinidol",NA,NA,NA,"BRD-K89853519","Unknown","Unknown",NA
"fit","opioid receptor agonist","OPRD1","Preclinical","BRD-K17896185","opioid receptor agonist","opioid receptor agonist",NA
"fk-888","tachykinin antagonist","TACR1, TACR2","Phase 2","BRD-K83508485","tachykinin antagonist","tachykinin antagonist",NA
"fk506",NA,NA,NA,NA,NA,NA,NA
"flavokawain b",NA,NA,NA,NA,NA,NA,NA
"flavoxate hydrochloride","acetylcholine receptor antagonist","CHRM1, CHRM2","Launched","BRD-K47639036","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"flecainide acetate","sodium channel blocker","KCNA5, KCNA7, SCN5A","Launched","BRD-A09472452","sodium channel blocker","sodium channel blocker",NA
"floxuridine","DNA synthesis inhibitor","TYMS","Launched","BRD-A80638690","DNA synthesis inhibitor","DNA synthesis inhibitor",NA
"flubendazole","tubulin polymerization inhibitor","TUBB","Launched","BRD-K86003836","tubulin polymerization inhibitor","tubulin polymerization inhibitor",NA
"flucloxacillin sodium","bacterial cell wall synthesis inhibitor","","Launched","BRD-A60052764","bacterial cell wall synthesis inhibitor","bacterial cell wall synthesis inhibitor",NA
"fluconazole","sterol demethylase inhibitor","CYP51A1","Launched","BRD-K05977355","sterol demethylase inhibitor","sterol demethylase inhibitor",NA
"flucytosine","other antifungal","DNMT1","Launched","BRD-K82143716","other antifungal","other antifungal",NA
"fludarabine","ribonucleotide reductase inhibitor","ADA, DCK, POLA1, RRM1, RRM2","Launched","BRD-K72238567","ribonucleotide reductase inhibitor","ribonucleotide reductase inhibitor",NA
"fludrocortisone-acetate","","NR3C2","Launched",NA,NA,"",NA
"flufenamic-acid","chloride channel blocker","AKR1C3, ANO1, AR, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3, PKD2L1, PTGS1, PTGS2, TRPC5, TRPM2, TRPM5","Preclinical","BRD-K44067360","chloride channel blocker","chloride channel blocker",NA
"flumazenil","benzodiazepine receptor antagonist","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ","Launched","BRD-K98769987","benzodiazepine receptor antagonist","benzodiazepine receptor antagonist",NA
"flumethasone","glucocorticoid receptor agonist","NR3C1, PLA2G1B","Launched","BRD-K81774264","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"flunarizine dihydrochloride","calcium channel blocker","CACNA1G, CACNA1H, CACNA1I, CALM1, HRH1","Launched","BRD-K12184470",NA,"calcium channel blocker",NA
"flunisolide","cytochrome P450 inhibitor","NR3C1","Launched","BRD-A65449987",NA,"cytochrome P450 inhibitor",NA
"fluocinolone-acetonide","glucocorticoid receptor agonist","NR3C1, SERPINA6","Launched",NA,NA,"glucocorticoid receptor agonist",NA
"fluocinonide","glucocorticoid receptor agonist","NR3C1, SERPINA6, SMO","Launched","BRD-K47036706",NA,"glucocorticoid receptor agonist",NA
"fluorometholone","glucocorticoid receptor agonist","NR3C1","Launched","BRD-K13027675","glucocorticoid receptor agonist","glucocorticoid receptor agonist",NA
"fluoropyruvate",NA,NA,NA,"BRD-K01779529",NA,"Unknown","Unknown"
"fluphenazine-n-2-chloroethane, dihydrochloride",NA,NA,NA,NA,NA,NA,NA
"fluphenazine dihydrochloride","dopamine receptor antagonist","CALM1, DRD1, DRD2, DRD5, HRH1, HTR2A, HTR6, HTR7","Launched","BRD-K53987533","dopamine receptor antagonist","dopamine receptor antagonist",NA
"fluprostenol",NA,NA,NA,"BRD-K31611373","Unknown","Unknown",NA
"flurandrenolide",NA,NA,NA,"BRD-K58746048","Unknown","Unknown",NA
"flurofamide","urease inhibitor","","Preclinical","BRD-K67445247","urease inhibitor","urease inhibitor",NA
"fluspirilene","dopamine receptor antagonist","CACNG1, DRD2, HRH1, HTR1A, HTR1D, HTR1E, HTR2A","Launched","BRD-K77947974",NA,"dopamine receptor antagonist",NA
"flutamide","androgen receptor antagonist","AHR, AR","Launched","BRD-K28307902","androgen receptor antagonist","androgen receptor antagonist",NA
"fluticasone-propionate","glucocorticoid receptor agonist","NR3C1, NR3C2, PGR, PLA2G4A","Launched",NA,NA,"glucocorticoid receptor agonist",NA
"fluvastatin","HMGCR inhibitor","HMGCR","Launched","BRD-K66296774","HMGCR inhibitor","HMGCR inhibitor",NA
"fluvastatin sodium salt","HMGCR inhibitor","HMGCR","Launched","BRD-K66296774","HMGCR inhibitor","HMGCR inhibitor",NA
"fluvoxamine maleate","selective serotonin reuptake inhibitor (SSRI)","SLC6A4","Launched","BRD-K31534764",NA,"selective serotonin reuptake inhibitor (SSRI)",NA
"folinic acid calcium salt",NA,NA,NA,NA,NA,NA,NA
"foliosidine",NA,NA,NA,"BRD-A49734948","Unknown","Unknown",NA
"fomepizole","alcohol dehydrogenase inhibitor","ADH1A, ADH1B, ADH1C, AKR1A1, CAT","Launched","BRD-K56810756","alcohol dehydrogenase inhibitor","alcohol dehydrogenase inhibitor",NA
"foretinib","VEGFR inhibitor","FLT1, FLT4, KDR, MET","Phase 2","BRD-K03449891","VEGFR inhibitor","VEGFR inhibitor",NA
"formestane","aromatase inhibitor","CYP19A1","Launched","BRD-A42153648","aromatase inhibitor","aromatase inhibitor",NA
"formoterol","adrenergic receptor agonist","ADRB2","Launched","BRD-K54006094","adrenergic receptor agonist","adrenergic receptor agonist",NA
"formoterol hemifumarate","adrenergic receptor agonist","ADRB2","Launched","BRD-M00539986","adrenergic receptor agonist","adrenergic receptor agonist",NA
"forskolin","adenylyl cyclase activator","ADCY2, ADCY5, GNAS","Launched","BRD-K03015355","adenylyl cyclase activator","adenylyl cyclase activator",NA
"fosfosal","phosphodiesterase inhibitor","PTGS1, PTGS2","Launched","BRD-K28687144","phosphodiesterase inhibitor","phosphodiesterase inhibitor",NA
"fostamatinib","SYK inhibitor","SYK","Launched","BRD-K20285085","SYK inhibitor","SYK inhibitor",NA
"fpl-55712","leukotriene receptor antagonist","","Phase 1","BRD-A96456596","leukotriene receptor antagonist","leukotriene receptor antagonist",NA
"fr-139317","endothelin receptor antagonist","EDNRA","Phase 1","BRD-A80641450","endothelin receptor antagonist","endothelin receptor antagonist",NA
"fr-180204","MAP kinase inhibitor","MAPK1, MAPK3","Preclinical","BRD-K68756823","MAP kinase inhibitor","MAP kinase inhibitor",NA
"fr 122047 hydrochloride","cyclooxygenase inhibitor","","Preclinical","BRD-K30990140","cyclooxygenase inhibitor","cyclooxygenase inhibitor",NA
"fraxidin methyl ether",NA,NA,NA,"BRD-K66944906","Unknown","Unknown",NA
"fti-276 trifluoroacetate",NA,NA,NA,"BRD-K75532464","Unknown","Unknown",NA
"ftorafur","thymidylate synthase inhibitor","TYMS","Launched",NA,NA,"thymidylate synthase inhibitor",NA
"ftt",NA,NA,NA,NA,NA,NA,NA
"fu-jmbii105b",NA,NA,NA,"BRD-K25662647","Unknown","Unknown",NA
"fu-jmbii113b",NA,NA,NA,"BRD-K61248029","Unknown","Unknown",NA
"fu-jmbii127b",NA,NA,NA,"BRD-K34452916","Unknown","Unknown",NA
"fu-jmbii227b",NA,NA,NA,"BRD-K92895207","Unknown","Unknown",NA
"fulvestrant","estrogen receptor antagonist","ESR1, ESR2, GPER1","Launched","BRD-A90490067","estrogen receptor antagonist","estrogen receptor antagonist",NA
"fumonisin-b1","","CERS1","Preclinical","BRD-A63646118","Unknown","",NA
"g-201",NA,NA,NA,NA,NA,NA,NA
"g-221",NA,NA,NA,NA,NA,NA,NA
"g3420",NA,NA,NA,NA,NA,NA,NA
"g5797",NA,NA,NA,NA,NA,NA,NA
"gabexate mesylate","serine protease inhibitor","PRSS1, TPSAB1","Launched","BRD-K59256312","serine protease inhibitor","serine protease inhibitor",NA
"gamma-linolenic acid (18:3 n-6)",NA,NA,NA,NA,NA,NA,NA
"ganciclovir","DNA polymerase inhibitor","","Launched","BRD-K22662435","DNA polymerase inhibitor","DNA polymerase inhibitor",NA
"gangleoidin acetate",NA,NA,NA,NA,NA,"Unknown","Unknown"
"gant-58","GLI antagonist","GLI1","Preclinical","BRD-K64451768","Unknown","GLI antagonist",NA
"garcinol",NA,NA,NA,"BRD-A47268303","Unknown","Unknown",NA
"gatifloxacin","bacterial DNA gyrase inhibitor","","Withdrawn","BRD-A74980173","bacterial DNA gyrase inhibitor","bacterial DNA gyrase inhibitor",NA
"gavestinel","glutamate receptor antagonist","GLRB, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B","Phase 3","BRD-K49890030","glutamate receptor antagonist","glutamate receptor antagonist",NA
"gbr 13069 dihydrochloride","dopamine reuptake inhibitor","SLC6A3","Preclinical","BRD-K11634954",NA,"dopamine reuptake inhibitor",NA
"gd-c0879",NA,NA,NA,NA,NA,NA,NA
"GD-C0879",NA,NA,NA,NA,NA,"RAF inhibitor","RAF inhibitor"
"gdc-0068","AKT inhibitor","AKT1, AKT2, AKT3, PRKG1","Phase 3",NA,NA,"AKT inhibitor",NA
"gdc-0879","RAF inhibitor","BRAF","Preclinical","BRD-K67578145","RAF inhibitor","RAF inhibitor",NA
"gdc-0941","PI3K inhibitor","PIK3CA, PIK3CB, PIK3CD, PIK3CG","Phase 2","BRD-K52911425","PI3K inhibitor","PI3K inhibitor",NA
"gdc-0980","mTOR inhibitor, PI3K inhibitor","FGR, MAP3K9, MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, SYK","Phase 2","BRD-A18328003","mTOR inhibitor, PI3K inhibitor","mTOR inhibitor, PI3K inhibitor",NA
"gefitinib","EGFR inhibitor","EGFR","Launched","BRD-K64052750","EGFR inhibitor","EGFR inhibitor",NA
"geldanamycin","HSP inhibitor","HSP90AA1","Preclinical","BRD-K11528507",NA,"HSP inhibitor",NA
"gelsemine",NA,NA,NA,"BRD-A17535965","Unknown","Unknown",NA
"gemcitabine","ribonucleotide reductase inhibitor","CMPK1, RRM1, RRM2, TYMS","Launched","BRD-K15108141","ribonucleotide reductase inhibitor","ribonucleotide reductase inhibitor",NA
"gemfibrozil","lipoprotein lipase activator","LPL, PPARA, SLCO1B1, SLCO1B3, SLCO2B1","Launched","BRD-K11129031","lipoprotein lipase activator","lipoprotein lipase activator",NA
"genistein","tyrosine kinase inhibitor","CFTR, ESR1, ESR2, ESRRA, ESRRB, ESRRG, NCOA1, NCOA2, PPARG, PTK2B, TOP2A, TRPC5","Phase 2/Phase 3","BRD-K43797669","tyrosine kinase inhibitor","tyrosine kinase inhibitor",NA
"genistin",NA,NA,NA,NA,NA,NA,NA
"gibberellic-acid",NA,NA,NA,"BRD-K92758126","NFkB pathway inhibitor","NFkB pathway inhibitor",NA
"ginsenoside-rc",NA,NA,NA,NA,NA,NA,NA
"gitoxigenin",NA,NA,NA,"BRD-A29082194","Unknown","Unknown",NA
"gliclazide","ATP channel blocker, insulin secretagogue","","Launched","BRD-A61154809","ATP channel blocker, insulin secretagogue","ATP channel blocker, insulin secretagogue",NA
"glimepiride","insulin secretagogue","ABCC8, KCNJ1, KCNJ11","Launched","BRD-K42693031","insulin secretagogue","insulin secretagogue",NA
"glipizide","sulfonylurea","ABCC8, KCNJ10, KCNJ11, PPARG","Launched","BRD-K12219985","sulfonylurea","sulfonylurea",NA
"gliquidone","sulfonylurea","ABCC8, KCNJ10, KCNJ8","Launched","BRD-K80396088","sulfonylurea","sulfonylurea",NA
"glyburide","ATP channel blocker, insulin secretagogue, sulfonylurea","ABCA1, ABCB11, ABCC8, ABCC9, CFTR, CPT1A, KCNJ1, KCNJ11, KCNJ5, KCNJ8, SLCO2B1","Launched",NA,NA,"ATP channel blocker, insulin secretagogue, sulfonylurea",NA
"glycocholic-acid",NA,NA,NA,"BRD-K54771420","Unknown","Unknown",NA
"glycopyrrolate","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5","Launched","BRD-A81233518","acetylcholine receptor antagonist","acetylcholine receptor antagonist",NA
"gm6001",NA,NA,NA,NA,NA,NA,NA
"gmx-1778",NA,NA,NA,"BRD-K47335880","Unknown","Unknown",NA
"gp 1a",NA,NA,NA,NA,NA,NA,NA
"gp 2a",NA,NA,NA,NA,NA,NA,NA
"gr-103",NA,NA,NA,NA,NA,NA,NA
"gr-103691","dopamine receptor antagonist","DRD3","Preclinical","BRD-K50891186","dopamine receptor antagonist","dopamine receptor antagonist",NA
"gr-105",NA,NA,NA,NA,NA,NA,NA
"gr-108",NA,NA,NA,NA,NA,NA,NA
"gr-109",NA,NA,NA,NA,NA,"Unknown","Unknown"
"gr-113808","serotonin receptor antagonist","HTR4","Preclinical","BRD-K49945136","serotonin receptor antagonist","serotonin receptor antagonist",NA
"gr-159897","tachykinin antagonist","TAC1, TACR2","Preclinical","BRD-K52394958","tachykinin antagonist","tachykinin antagonist",NA
"gr-206",NA,NA,NA,"BRD-K00184207","Unknown","Unknown",NA
"gr-207",NA,NA,NA,NA,NA,NA,NA
"gr-231",NA,NA,NA,NA,NA,NA,NA
"gr-235","estrogen receptor agonist, FXR antagonist, progesterone receptor agonist","NR1H4","Launched","BRD-K26674531","estrogen receptor agonist, FXR antagonist, progesterone receptor agonist","estrogen receptor agonist, FXR antagonist, progesterone receptor agonist",NA
"gr-236",NA,NA,NA,NA,NA,NA,NA
"gr-237",NA,NA,NA,NA,NA,"Unknown","Unknown"
"gr-239",NA,NA,NA,NA,NA,NA,NA
"gr-46611",NA,NA,NA,"BRD-K68190965","Unknown","Unknown",NA
"gr-79236","adenosine receptor agonist","ADORA1, ADORA2A","Phase 1","BRD-K40578143","adenosine receptor agonist","adenosine receptor agonist",NA
"gr 127935 hydrochloride","serotonin receptor antagonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6","Preclinical","BRD-K11911061","serotonin receptor antagonist","serotonin receptor antagonist",NA
"gr 144053 trihydrochloride","integrin antagonist","ITGA2B, ITGB3","Preclinical","BRD-K12120659","integrin antagonist","integrin antagonist",NA
"gr 32191 hydrochloride",NA,NA,NA,"BRD-K02283807","Unknown","Unknown",NA
"gr 55562 dihydrochloride",NA,NA,NA,"BRD-K46441700","Unknown","Unknown",NA
"gr 89696 fumarate",NA,NA,NA,"BRD-A93659613","Unknown","Unknown",NA
"granisetron","serotonin receptor antagonist","HTR3A","Launched","BRD-K10860596","serotonin receptor antagonist","serotonin receptor antagonist",NA
"graveoline",NA,NA,NA,"BRD-K92683369","Unknown","Unknown",NA
"gs39783",NA,NA,NA,NA,NA,NA,NA
"gsk-1059615",NA,NA,NA,"BRD-K02708799","Unknown","PI3K inhibitor","PI3K inhibitor"
"gsk-1070916",NA,NA,NA,"BRD-K36740062","Aurora kinase inhibitor","Aurora kinase inhibitor",NA
"gsk-1904529a",NA,NA,NA,"BRD-K04833372","IGF-1 inhibitor, insulin growth factor receptor inhibitor, insulin receptor ligand","IGF-1 inhibitor, insulin growth factor receptor inhibitor, insulin receptor ligand",NA
"gsk-2126458",NA,NA,NA,"BRD-K42918627","Unknown","PI3K inhibitor","PI3K inhibitor"
"gsk-2334470",NA,NA,NA,"BRD-K70642949","Unknown","PDK inhibitor","PDK inhibitor"
"gsk-3-inhibitor-ii",NA,NA,NA,"BRD-K09991945","Unknown","Unknown",NA
"gsk-3 inhibitor ii",NA,NA,NA,NA,NA,NA,NA
"gsk-3b inhibitor viii",NA,NA,NA,NA,NA,NA,NA
"gsk-429286a",NA,NA,NA,"BRD-A10523515","rho associated kinase inhibitor","rho associated kinase inhibitor",NA
"gsk-461364",NA,NA,NA,"BRD-K92428232","PLK inhibitor","PLK inhibitor",NA
"gsk-690693",NA,NA,NA,"BRD-A87137733","Unknown","Akt inhibitor","Akt inhibitor"
"gsk-j1","histone demethylase inhibitor","KDM6B","Preclinical",NA,NA,"histone demethylase inhibitor",NA
"gsk-j2","histone demethylase inhibitor","","Preclinical",NA,NA,"histone demethylase inhibitor",NA
"gsk-j4","histone lysine demethylase inhibitor","KDM6A, KDM6B","Preclinical",NA,NA,"histone lysine demethylase inhibitor",NA
"gsk1059615","PI3K inhibitor","PIK3CG","Phase 1",NA,NA,"PI3K inhibitor",NA
"gsk2334470","phosphoinositide dependent kinase inhibitor","AURKA, AURKB, PDPK1","Preclinical",NA,NA,"phosphoinositide dependent kinase inhibitor",NA
"gsk525762a",NA,NA,NA,"BRD-K08109215",NA,"BET inhibitor","BET inhibitor"
"gtp-14564","FLT3 inhibitor, tyrosine kinase inhibitor","CSF1R, FLT3, KIT, PDGFRB","Preclinical","BRD-K16664969","FLT3 inhibitor, tyrosine kinase inhibitor","FLT3 inhibitor, tyrosine kinase inhibitor",NA
